id,journeyOptionFlowId,movieId,reason,relevance,createdAt,updatedAt,relevanceScore
678,87,e2a57213-69e8-477b-bb7c-7dcb2e86f0f1,"um suspense psicológico envolvente, explorando paranoia e colapso mental em um cenário de terror crescente e perturbador.",5,2025-08-23 03:13:28.219,2025-08-23 03:13:28.219,2.700
677,103,e2a57213-69e8-477b-bb7c-7dcb2e86f0f1,"uma narrativa sobre as pressões da fama e a busca desesperada por rejuvenescimento, refletindo as ansiedades geradas por expectativas sociais irreais.",5,2025-08-23 02:28:40.319,2025-08-23 02:28:40.319,3.550
594,104,e2a57213-69e8-477b-bb7c-7dcb2e86f0f1,"A busca desesperada pela juventude eterna se transforma em um mergulho na desintegração psicológica, culminando em um terror psicológico visceral que explora a fragilidade da identidade e a inevitabilidade do destino.",5,2025-08-10 02:17:04.471,2025-08-10 02:17:04.471,2.800
593,102,e2a57213-69e8-477b-bb7c-7dcb2e86f0f1,uma exploração intensa das consequências psicológicas e ansiedades geradas por escolhas desesperadas e suas sombrias repercussões.,5,2025-08-10 02:16:18.497,2025-08-23 03:08:56.439,3.400
592,101,e2a57213-69e8-477b-bb7c-7dcb2e86f0f1,"A busca desesperada pela juventude eterna se transforma em um mergulho aterrador na fragilidade da mente, culminando em uma jornada de desespero e perda irreversível, onde a ilusão da perfeição se desfaz em um pesadelo psicológico.",5,2025-08-10 02:15:21.03,2025-08-10 02:15:21.03,2.600

id,journeyOptionFlowId,movieId,reason,relevance,createdAt,updatedAt,relevanceScore
733,104,cd29a113-f6de-458f-a88d-a370c99382b2,uma jornada inspiradora de superação da inquietação através da fé e da descoberta do propósito.,5,2025-09-04 19:48:29.678,2025-09-04 19:48:29.678,3.550
732,176,cd29a113-f6de-458f-a88d-a370c99382b2,"uma narrativa inspiradora de superação, mostrando otimismo e triunfo sobre adversidades.",5,2025-09-04 19:40:45.493,2025-09-04 19:40:45.493,3.400
731,134,cd29a113-f6de-458f-a88d-a370c99382b2,"uma narrativa inspiradora sobre superação de obstáculos e resiliência, mostrando a força da vontade e da fé.",5,2025-09-04 19:30:21.704,2025-09-04 19:30:21.704,2.550

